"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:46:26.869Z","277ACAC128203005","0","147","9328","1137223","2","0","1137477","0e","22","161677912df5cc0e00115b4500115a4701ba350200115a47481f930200115a47012d930200115a479328930200115a5001ba160100115a50012d1a02ffffff","2021-04-05T17:51:02.869Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:27.817Z","277ACAC128203005","0","51","9328","1137232","2","6","1137536","0e","226","e21677912df5cc0e00115b8000115a50481f330200115a509328330200115a5a012d330200115a5a01ba330200115a5a9328930200115a6301ba3302ffffff","2021-04-05T17:55:17.817Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:35.869Z","277ACAC128203005","0","26","012D","1137232","2","0","1137477","0e","22","161677912df5cc0e00115b4500115a4701ba350200115a47481f930200115a47012d930200115a479328930200115a5001ba160100115a50012d1a02ffffff","2021-04-05T17:51:02.869Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:37.817Z","277ACAC128203005","0","147","9328","1137242","2","6","1137536","0e","226","e21677912df5cc0e00115b8000115a50481f330200115a509328330200115a5a012d330200115a5a01ba330200115a5a9328930200115a6301ba3302ffffff","2021-04-05T17:55:17.817Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:46.458Z","277ACAC128203005","0","147","012D","1137251","2","5","1137537","0e","221","dd1677912df5cc0e00115b8100115a63481f930200115a63012d930200115a6d012d1a0200115a6d481f330200115a6d9328330200115a6d01ba1601ffffff","2021-04-05T17:55:13.458Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:46.817Z","277ACAC128203005","0","51","01BA","1137251","2","6","1137536","0e","226","e21677912df5cc0e00115b8000115a50481f330200115a509328330200115a5a012d330200115a5a01ba330200115a5a9328930200115a6301ba3302ffffff","2021-04-05T17:55:17.817Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:56.458Z","277ACAC128203005","0","22","01BA","1137261","1","5","1137537","0e","221","dd1677912df5cc0e00115b8100115a63481f930200115a63012d930200115a6d012d1a0200115a6d481f330200115a6d9328330200115a6d01ba1601ffffff","2021-04-05T17:55:13.458Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:06.185Z","277ACAC128203005","0","147","9328","1137270","2","4","1137537","0e","216","d81677912df5cc0e00115b8100115a7601ba1a0200115a76012d330200115a769328930200115a7f481f930200115a7f01ba5b0200115a7f012d9302ffffff","2021-04-05T17:55:09.185Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:14.835Z","277ACAC128203005","0","147","9328","1137279","2","3","1137537","0e","212","d41677912df5cc0e00115b8100115a7f9328930200115a899328330200115a89012d1a0200115a89481f1a0200115a8901ba160100115a92012d3302ffffff","2021-04-05T17:55:04.835Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:15.185Z","277ACAC128203005","0","147","012D","1137279","2","4","1137537","0e","216","d81677912df5cc0e00115b8100115a7601ba1a0200115a76012d330200115a769328930200115a7f481f930200115a7f01ba5b0200115a7f012d9302ffffff","2021-04-05T17:55:09.185Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:24.835Z","277ACAC128203005","0","22","01BA","1137289","1","3","1137537","0e","212","d41677912df5cc0e00115b8100115a7f9328930200115a899328330200115a89012d1a0200115a89481f1a0200115a8901ba160100115a92012d3302ffffff","2021-04-05T17:55:04.835Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:33.835Z","277ACAC128203005","0","51","012D","1137298","2","3","1137537","0e","212","d41677912df5cc0e00115b8100115a7f9328930200115a899328330200115a89012d1a0200115a89481f1a0200115a8901ba160100115a92012d3302ffffff","2021-04-05T17:55:04.835Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:34.507Z","277ACAC128203005","0","147","481F","1137298","2","2","1137596","0e","148","941677912df5cc0e00115bbc00115a9201ba330200115a92481f930200115a9b01ba930200115a9b481f930200115a9b9328930200115a9b012d9302ffffff","2021-04-05T17:55:00.507Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:43.507Z","277ACAC128203005","0","147","012D","1137307","2","2","1137596","0e","148","941677912df5cc0e00115bbc00115a9201ba330200115a92481f930200115a9b01ba930200115a9b481f930200115a9b9328930200115a9b012d9302ffffff","2021-04-05T17:55:00.507Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:47:53.156Z","277ACAC128203005","0","22","01BA","1137317","1","1","1137656","0e","84","541677912df5cc0e00115bf800115aa59328330200115aa5012d1a0200115aa5481f1a0200115aa501ba160100115aae01ba330200115aae012d3302ffffff","2021-04-05T17:54:56.156Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:02.156Z","277ACAC128203005","0","51","012D","1137326","2","1","1137656","0e","84","541677912df5cc0e00115bf800115aa59328330200115aa5012d1a0200115aa5481f1a0200115aa501ba160100115aae01ba330200115aae012d3302ffffff","2021-04-05T17:54:56.156Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:09.864Z","277ACAC128203005","0","147","9328","1137326","2","0","1137716","0e","12","0c1677912df5cc0e00115c3400115aae9328930200115ab7481f930200115ab7012d930200115ab701ba5b0200115ab79328930200115ac1481f1a02ffffff","2021-04-05T17:54:51.864Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:18.864Z","277ACAC128203005","0","147","9328","1137335","2","0","1137716","0e","12","0c1677912df5cc0e00115c3400115aae9328930200115ab7481f930200115ab7012d930200115ab701ba5b0200115ab79328930200115ac1481f1a02ffffff","2021-04-05T17:54:51.864Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:20.397Z","277ACAC128203005","0","26","012D","1137345","2","19","1137777","0e","42","2a1677912df5cc0e00115c7100115ac101ba160100115ac19328330200115ac1012d1a0200115aca012d1a0200115aca481f930200115aca01ba3302ffffff","2021-04-05T17:56:14.397Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:28.864Z","277ACAC128203005","0","26","481F","1137345","2","0","1137716","0e","12","0c1677912df5cc0e00115c3400115aae9328930200115ab7481f930200115ab7012d930200115ab701ba5b0200115ab79328930200115ac1481f1a02ffffff","2021-04-05T17:54:51.864Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:29.397Z","277ACAC128203005","0","51","01BA","1137354","2","19","1137777","0e","42","2a1677912df5cc0e00115c7100115ac101ba160100115ac19328330200115ac1012d1a0200115aca012d1a0200115aca481f930200115aca01ba3302ffffff","2021-04-05T17:56:14.397Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:39.117Z","277ACAC128203005","0","147","012D","1137363","2","18","1137777","0e","37","251677912df5cc0e00115c7100115ad301ba760200115ad3481f930200115ad3012d930200115add01ba160100115add012d1a0200115add93283302ffffff","2021-04-05T17:56:10.117Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:48.517Z","277ACAC128203005","0","118","481F","1137373","2","17","1137778","0e","32","201677912df5cc0e00115c7200115add481f760200115ae6012d330200115ae6481f930200115ae601ba330200115aef01ba5b0200115aef012d9302ffffff","2021-04-05T17:56:05.517Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:49.117Z","277ACAC128203005","0","51","9328","1137373","2","18","1137777","0e","37","251677912df5cc0e00115c7100115ad301ba760200115ad3481f930200115ad3012d930200115add01ba160100115add012d1a0200115add93283302ffffff","2021-04-05T17:56:10.117Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:48:57.517Z","277ACAC128203005","0","51","01BA","1137382","2","17","1137778","0e","32","201677912df5cc0e00115c7200115add481f760200115ae6012d330200115ae6481f930200115ae601ba330200115aef01ba5b0200115aef012d9302ffffff","2021-04-05T17:56:05.517Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:06.517Z","277ACAC128203005","0","147","012D","1137391","2","17","1137778","0e","32","201677912df5cc0e00115c7200115add481f760200115ae6012d330200115ae6481f930200115ae601ba330200115aef01ba5b0200115aef012d9302ffffff","2021-04-05T17:56:05.517Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:07.060Z","277ACAC128203005","0","147","9328","1137391","2","16","1137778","0e","27","1b1677912df5cc0e00115c7200115aef481f930200115aef9328930200115af9012d1a0200115af99328330200115af9481f330200115af901ba1601ffffff","2021-04-05T17:56:01.060Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:17.060Z","277ACAC128203005","0","22","01BA","1137401","1","16","1137778","0e","27","1b1677912df5cc0e00115c7200115aef481f930200115aef9328930200115af9012d1a0200115af99328330200115af9481f330200115af901ba1601ffffff","2021-04-05T17:56:01.060Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:25.657Z","277ACAC128203005","0","147","481F","1137410","2","10","1137778","0e","0","001677912df5cc0e00115c7200115b02012d330200115b0201ba5b0200115b02481f930200115b0c01ba930200115b0c481f760200115b0c012d9302ffffff","2021-04-05T17:55:33.657Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:35.657Z","277ACAC128203005","0","147","012D","1137420","2","10","1137778","0e","0","001677912df5cc0e00115c7200115b02012d330200115b0201ba5b0200115b02481f930200115b0c01ba930200115b0c481f760200115b0c012d9302ffffff","2021-04-05T17:55:33.657Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:44.637Z","277ACAC128203005","0","22","01BA","1137429","1","15","1137779","0e","22","161677912df5cc0e00115c7300115b1593285b0200115b15481f330200115b15012d1a0200115b1501ba160100115b1e012d5b0200115b1e93289302ffffff","2021-04-05T17:55:56.637Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:53.637Z","277ACAC128203005","0","147","9328","1137438","2","15","1137779","0e","22","161677912df5cc0e00115c7300115b1593285b0200115b15481f330200115b15012d1a0200115b1501ba160100115b1e012d5b0200115b1e93289302ffffff","2021-04-05T17:55:56.637Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:54.018Z","277ACAC128203005","0","118","01BA","1137438","2","14","1137779","0e","13","0d1677912df5cc0e00115c7300115b1e01ba760200115b28012d930200115b2801ba930200115b28481f930200115b289328930200115b3101ba1601ffffff","2021-04-05T17:55:48.018Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:49:58.649Z","277ACAC128203005","0","118","01BA","1137438","2","14","1137779","0e","13","0d1677912df5cc0e00115c7300115b1e01ba760200115b28012d930200115b2801ba930200115b28481f930200115b289328930200115b3101ba1601ffffff","2021-04-05T17:55:52.649Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:04.018Z","277ACAC128203005","0","147","9328","1137448","2","14","1137779","0e","13","0d1677912df5cc0e00115c7300115b1e01ba760200115b28012d930200115b2801ba930200115b28481f930200115b289328930200115b3101ba1601ffffff","2021-04-05T17:55:48.018Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:08.649Z","277ACAC128203005","0","147","9328","1137448","2","14","1137779","0e","13","0d1677912df5cc0e00115c7300115b1e01ba760200115b28012d930200115b2801ba930200115b28481f930200115b289328930200115b3101ba1601ffffff","2021-04-05T17:55:52.649Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:12.491Z","277ACAC128203005","0","51","481F","1137457","2","11","1137780","0e","0","001677912df5cc0e00115c7400115b31012d330200115b319328330200115b31481f330200115b3a012d760200115b3a01ba330200115b3a481f9302ffffff","2021-04-05T17:55:35.491Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:13.018Z","277ACAC128203005","0","22","01BA","1137457","1","14","1137779","0e","13","0d1677912df5cc0e00115c7300115b1e01ba760200115b28012d930200115b2801ba930200115b28481f930200115b289328930200115b3101ba1601ffffff","2021-04-05T17:55:48.018Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:17.649Z","277ACAC128203005","0","22","01BA","1137457","1","14","1137779","0e","13","0d1677912df5cc0e00115c7300115b1e01ba760200115b28012d930200115b2801ba930200115b28481f930200115b289328930200115b3101ba1601ffffff","2021-04-05T17:55:52.649Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:21.491Z","277ACAC128203005","0","147","481F","1137466","2","11","1137780","0e","0","001677912df5cc0e00115c7400115b31012d330200115b319328330200115b31481f330200115b3a012d760200115b3a01ba330200115b3a481f9302ffffff","2021-04-05T17:55:35.491Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:31.656Z","277ACAC128203005","0","147","9328","1137476","2","13","1137780","0e","8","081677912df5cc0e00115c7400115b44481f930200115b44012d930200115b4401ba5b0200115b449328930200115b4d01ba160100115b4d481f3302ffffff","2021-04-05T17:55:43.656Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:40.337Z","277ACAC128203005","0","51","9328","1137485","2","12","1137781","0e","3","031677912df5cc0e00115c7500115b4d012d330200115b4d9328330200115b56012d5b0200115b5601ba5b0200115b56481f930200115b60481f9302ffffff","2021-04-05T17:55:39.337Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:50:40.656Z","277ACAC128203005","0","51","481F","1137485","2","13","1137780","0e","8","081677912df5cc0e00115c7400115b44481f930200115b44012d930200115b4401ba5b0200115b449328930200115b4d01ba160100115b4d481f3302ffffff","2021-04-05T17:55:43.656Z","HELIUM","14"
