"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T18:21:38.988Z","277ACAC128203005","0","147","012D","1139364","2","14","1139990","0e","14","0e1677912df5cc0e00116516000b281793289302000b281701ba1a02001162a4481f9302001162a493289302001162a401ba1601001162a4012d9302ffffff","2021-04-05T18:32:18.988Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:21:47.568Z","277ACAC128203005","0","118","012D","1139373","2","13","1139991","0e","9","091677912df5cc0e00116517001162ad481f9302001162ad01ba9302001162ad012d7602001162b601ba9302001162b6481f9302001162b6012d9302ffffff","2021-04-05T18:32:14.568Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:21:56.568Z","277ACAC128203005","0","147","012D","1139382","2","13","1139991","0e","9","091677912df5cc0e00116517001162ad481f9302001162ad01ba9302001162ad012d7602001162b601ba9302001162b6481f9302001162b6012d9302ffffff","2021-04-05T18:32:14.568Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:22:07.131Z","277ACAC128203005","0","22","01BA","1139392","1","12","1139991","0e","4","041677912df5cc0e00116517001162c0012d9302001162c093289302001162c001ba1601001162c901ba9302001162c9481f9302001162c9012d9302ffffff","2021-04-05T18:32:10.131Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:22:16.131Z","277ACAC128203005","0","147","012D","1139401","2","12","1139991","0e","4","041677912df5cc0e00116517001162c0012d9302001162c093289302001162c001ba1601001162c901ba9302001162c9481f9302001162c9012d9302ffffff","2021-04-05T18:32:10.131Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:22:25.828Z","277ACAC128203005","0","147","481F","1139411","2","24","1140047","0e","0","001677912df5cc0e0011654f001162d301ba9302001162d3481f9302001162dc01ba1601001162dc93289302001162dc481f9302001162dc012d9302ffffff","2021-04-05T18:33:01.828Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:22:34.828Z","277ACAC128203005","0","147","012D","1139420","2","24","1140047","0e","0","001677912df5cc0e0011654f001162d301ba9302001162d3481f9302001162dc01ba1601001162dc93289302001162dc481f9302001162dc012d9302ffffff","2021-04-05T18:33:01.828Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:26.549Z","277ACAC128203005","0","91","01BA","1139429","2","19","1140048","0e","255","ff1677912df5cc0e00116550001162e5012d9302001162e5481f7602001162e501ba5b02001162ef01ba9302001162ef012d9302001162ef481f9302ffffff","2021-04-05T18:38:00.549Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:36.549Z","277ACAC128203005","0","147","481F","1139439","2","19","1140048","0e","255","ff1677912df5cc0e00116550001162e5012d9302001162e5481f7602001162e501ba5b02001162ef01ba9302001162ef012d9302001162ef481f9302ffffff","2021-04-05T18:38:00.549Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:39.429Z","277ACAC128203005","0","147","012D","1139485","2","25","1140049","0e","0","001677912df5cc0e001165510011631d481f33020011631d01ba93020011631d012d930200116327012d93020011632701ba930200116327481f9302ffffff","2021-04-05T18:33:03.429Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:41.115Z","277ACAC128203005","0","51","012D","1139448","2","18","1140048","0e","255","ff1677912df5cc0e00116550001162f893289302001162f801ba1601001162f8481f9302001162f8012d330200116301012d330200116301481f1a02ffffff","2021-04-05T18:37:56.115Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:44.676Z","277ACAC128203005","0","147","01BA","1139457","2","17","1140049","0e","255","ff1677912df5cc0e001165510011630101ba93020011630b01ba930200116314012d5b02001163149328930200116314481f93020011631401ba1601ffffff","2021-04-05T18:37:51.676Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:49.429Z","277ACAC128203005","0","147","481F","1139495","2","25","1140049","0e","0","001677912df5cc0e001165510011631d481f33020011631d01ba93020011631d012d930200116327012d93020011632701ba930200116327481f9302ffffff","2021-04-05T18:33:03.429Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:50.115Z","277ACAC128203005","0","26","481F","1139457","2","18","1140048","0e","255","ff1677912df5cc0e00116550001162f893289302001162f801ba1601001162f8481f9302001162f8012d330200116301012d330200116301481f1a02ffffff","2021-04-05T18:37:56.115Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:23:54.676Z","277ACAC128203005","0","147","01BA","1139467","2","17","1140049","0e","255","ff1677912df5cc0e001165510011630101ba93020011630b01ba930200116314012d5b02001163149328930200116314481f93020011631401ba1601ffffff","2021-04-05T18:37:51.676Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:24:03.676Z","277ACAC128203005","0","22","01BA","1139476","1","17","1140049","0e","255","ff1677912df5cc0e001165510011630101ba93020011630b01ba930200116314012d5b02001163149328930200116314481f93020011631401ba1601ffffff","2021-04-05T18:37:51.676Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:24:27.545Z","277ACAC128203005","0","51","012D","1139504","2","16","1140049","0e","255","ff1677912df5cc0e001165510011633001ba5f01001163309328760200116330481f930200116330012d330200116339012d33020011633901ba9302ffffff","2021-04-05T18:37:47.545Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:24:30.811Z","277ACAC128203005","0","51","481F","1139513","2","15","1140050","0e","255","ff1677912df5cc0e0011655200116339481f330200116343481f93020011634301ba930200116343012d93020011634c012d1a020011634c01ba1601ffffff","2021-04-05T18:37:42.811Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:24:36.545Z","277ACAC128203005","0","147","01BA","1139513","2","16","1140049","0e","255","ff1677912df5cc0e001165510011633001ba5f01001163309328760200116330481f930200116330012d330200116339012d33020011633901ba9302ffffff","2021-04-05T18:37:47.545Z","HELIUM","14"
