"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T19:08:24.438Z","277ACAC128203005","0","22","01BA","1142172","1","13","1142335","0e","3","031677912df5cc0e00116e3f00116d9c481f1a0200116d9c01ba160100116da6481f1a0200116da601ba1a0200116daf01ba930200116daf481f9302ffffff","2021-04-05T19:11:10.438Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:08:24.875Z","277ACAC128203005","0","118","9328","1142172","2","14","1142334","0e","8","081677912df5cc0e00116e3e00116d89481f1a0200116d8901ba350200116d9301ba930200116d93481f1a0200116d939328930200116d9c93287602ffffff","2021-04-05T19:11:14.875Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:08:34.438Z","277ACAC128203005","0","26","01BA","1142182","2","13","1142335","0e","3","031677912df5cc0e00116e3f00116d9c481f1a0200116d9c01ba160100116da6481f1a0200116da601ba1a0200116daf01ba930200116daf481f9302ffffff","2021-04-05T19:11:10.438Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:08:43.438Z","277ACAC128203005","0","147","481F","1142191","2","13","1142335","0e","3","031677912df5cc0e00116e3f00116d9c481f1a0200116d9c01ba160100116da6481f1a0200116da601ba1a0200116daf01ba930200116daf481f9302ffffff","2021-04-05T19:11:10.438Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:08:51.907Z","277ACAC128203005","0","22","01BA","1142200","1","0","1142390","0e","243","f31677912df5cc0e00116e7600116db89328760200116db8481f160100116db801ba160100116dc201ba1a0200116dc2481f5f0100116dcb01ba9302ffffff","2021-04-05T19:16:04.907Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:01.907Z","277ACAC128203005","0","95","481F","1142210","1","0","1142390","0e","243","f31677912df5cc0e00116e7600116db89328760200116db8481f160100116db801ba160100116dc201ba1a0200116dc2481f5f0100116dcb01ba9302ffffff","2021-04-05T19:16:04.907Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:10.907Z","277ACAC128203005","0","147","01BA","1142219","2","0","1142390","0e","243","f31677912df5cc0e00116e7600116db89328760200116db8481f160100116db801ba160100116dc201ba1a0200116dc2481f5f0100116dcb01ba9302ffffff","2021-04-05T19:16:04.907Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:11.136Z","277ACAC128203005","0","26","481F","1142219","2","24","1142390","0e","0","001677912df5cc0e00116e7600116dcb481f1a0200116dd401ba160100116dd4481f5f0100116dd493285b0200116dde01ba1a0200116dde481f5f01ffffff","2021-04-05T19:12:02.136Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:20.136Z","277ACAC128203005","0","91","9328","1142228","2","24","1142390","0e","0","001677912df5cc0e00116e7600116dcb481f1a0200116dd401ba160100116dd4481f5f0100116dd493285b0200116dde01ba1a0200116dde481f5f01ffffff","2021-04-05T19:12:02.136Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:30.136Z","277ACAC128203005","0","95","481F","1142238","1","24","1142390","0e","0","001677912df5cc0e00116e7600116dcb481f1a0200116dd401ba160100116dd4481f5f0100116dd493285b0200116dde01ba1a0200116dde481f5f01ffffff","2021-04-05T19:12:02.136Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:43.696Z","277ACAC128203005","0","51","481F","1142247","2","31","1142391","0e","27","1b1677912df5cc0e00116e7700116de701ba930200116de7481f330200116df0481f160100116df093285b0200116df001ba160100116dfa481f1601ffffff","2021-04-05T19:12:34.696Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:52.696Z","277ACAC128203005","0","22","01BA","1142256","1","31","1142391","0e","27","1b1677912df5cc0e00116e7700116de701ba930200116de7481f330200116df0481f160100116df093285b0200116df001ba160100116dfa481f1601ffffff","2021-04-05T19:12:34.696Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:09:57.935Z","277ACAC128203005","0","26","01BA","1142266","2","30","1142391","0e","23","171677912df5cc0e00116e7700116dfa01ba1a0200116e0301ba930200116e03481f930200116e039328930200116e0c01ba160100116e0c481f9302ffffff","2021-04-05T19:12:25.935Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:02.696Z","277ACAC128203005","0","22","481F","1142266","1","31","1142391","0e","27","1b1677912df5cc0e00116e7700116de701ba930200116de7481f330200116df0481f160100116df093285b0200116df001ba160100116dfa481f1601ffffff","2021-04-05T19:12:34.696Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:06.935Z","277ACAC128203005","0","147","9328","1142275","2","30","1142391","0e","23","171677912df5cc0e00116e7700116dfa01ba1a0200116e0301ba930200116e03481f930200116e039328930200116e0c01ba160100116e0c481f9302ffffff","2021-04-05T19:12:25.935Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:15.517Z","277ACAC128203005","0","118","9328","1142284","2","29","1142392","0e","18","121677912df5cc0e00116e7800116e0c9328760200116e16481f1a0200116e1601ba760200116e1f481f1a0200116e1f01ba930200116e2801ba1601ffffff","2021-04-05T19:12:21.517Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:15.935Z","277ACAC128203005","0","147","481F","1142284","2","30","1142391","0e","23","171677912df5cc0e00116e7700116dfa01ba1a0200116e0301ba930200116e03481f930200116e039328930200116e0c01ba160100116e0c481f9302ffffff","2021-04-05T19:12:25.935Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:25.517Z","277ACAC128203005","0","118","01BA","1142294","2","29","1142392","0e","18","121677912df5cc0e00116e7800116e0c9328760200116e16481f1a0200116e1601ba760200116e1f481f1a0200116e1f01ba930200116e2801ba1601ffffff","2021-04-05T19:12:21.517Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:34.517Z","277ACAC128203005","0","147","01BA","1142303","2","29","1142392","0e","18","121677912df5cc0e00116e7800116e0c9328760200116e16481f1a0200116e1601ba760200116e1f481f1a0200116e1f01ba930200116e2801ba1601ffffff","2021-04-05T19:12:21.517Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:43.517Z","277ACAC128203005","0","22","01BA","1142312","1","29","1142392","0e","18","121677912df5cc0e00116e7800116e0c9328760200116e16481f1a0200116e1601ba760200116e1f481f1a0200116e1f01ba930200116e2801ba1601ffffff","2021-04-05T19:12:21.517Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:43.768Z","277ACAC128203005","0","147","9328","1142312","2","25","1142392","0e","0","001677912df5cc0e00116e7800116e28481f1a0200116e289328930200116e3201ba1a0200116e32481f1a0200116e3b01ba930200116e3b481f5b02ffffff","2021-04-05T19:12:03.768Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:10:53.768Z","277ACAC128203005","0","26","481F","1142322","2","25","1142392","0e","0","001677912df5cc0e00116e7800116e28481f1a0200116e289328930200116e3201ba1a0200116e32481f1a0200116e3b01ba930200116e3b481f5b02ffffff","2021-04-05T19:12:03.768Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:02.768Z","277ACAC128203005","0","91","481F","1142331","2","25","1142392","0e","0","001677912df5cc0e00116e7800116e28481f1a0200116e289328930200116e3201ba1a0200116e32481f1a0200116e3b01ba930200116e3b481f5b02ffffff","2021-04-05T19:12:03.768Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:14.057Z","277ACAC128203005","0","22","01BA","1142341","1","28","1142392","0e","12","0c1677912df5cc0e00116e7800116e45481f760200116e459328930200116e4501ba160100116e4e481f330200116e4e01ba1a0200116e5701ba9302ffffff","2021-04-05T19:12:17.057Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:23.057Z","277ACAC128203005","0","26","01BA","1142350","2","28","1142392","0e","12","0c1677912df5cc0e00116e7800116e45481f760200116e459328930200116e4501ba160100116e4e481f330200116e4e01ba1a0200116e5701ba9302ffffff","2021-04-05T19:12:17.057Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:30.619Z","277ACAC128203005","0","26","481F","1142359","2","27","1142393","0e","8","081677912df5cc0e00116e7900116e57481f1a0200116e6101ba160100116e61481f350200116e619328760200116e6a481f160100116e6a01ba1a02ffffff","2021-04-05T19:12:12.619Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:32.057Z","277ACAC128203005","0","147","01BA","1142359","2","28","1142392","0e","12","0c1677912df5cc0e00116e7800116e45481f760200116e459328930200116e4501ba160100116e4e481f330200116e4e01ba1a0200116e5701ba9302ffffff","2021-04-05T19:12:17.057Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:40.619Z","277ACAC128203005","0","118","9328","1142369","2","27","1142393","0e","8","081677912df5cc0e00116e7900116e57481f1a0200116e6101ba160100116e61481f350200116e619328760200116e6a481f160100116e6a01ba1a02ffffff","2021-04-05T19:12:12.619Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:49.619Z","277ACAC128203005","0","26","01BA","1142378","2","27","1142393","0e","8","081677912df5cc0e00116e7900116e57481f1a0200116e6101ba160100116e61481f350200116e619328760200116e6a481f160100116e6a01ba1a02ffffff","2021-04-05T19:12:12.619Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:11:59.176Z","277ACAC128203005","0","118","481F","1142387","2","26","1142393","0e","3","031677912df5cc0e00116e7900116e7301ba930200116e73481f7602ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff","2021-04-05T19:12:08.176Z","HELIUM","14"
